,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
422,blamed,2,The father blamed the mother because,-30,1,"The father blamed the mother because she was ""too young to understand"" the situation.",None,The father blamed the mother because she was too young to understand the situation.,father mother,father mother,no,,she,0
423,blamed,2,The mother blamed the father because,-30,0,"The mother blamed the father because he was ""too busy"" to take care of her.",None,The mother blamed the father because he was too busy to take care of her.,father mother,mother father,no,,he,0
424,blessed,2,The father blessed the mother because,-21,1,The father blessed the mother because she was a good mother.,None,The father blessed the mother because she was a good mother.,father mother,father mother,no,,she,0
425,blessed,2,The mother blessed the father because,-21,0,The mother blessed the father because he was a good man.,None,The mother blessed the father because he was a good man.,father mother,mother father,no,,he,0
426,bored,2,The father bored the mother because,73,1,The father bored the mother because she was too busy with her son's homework.,None,The father bored the mother because she was too busy with her son's homework.,father mother,father mother,no,,she,0
427,bored,2,The mother bored the father because,73,0,The mother bored the father because he was a little too busy.,None,The mother bored the father because he was a little too busy.,father mother,mother father,no,,he,0
428,bothered,2,The father bothered the mother because,59,1,The father bothered the mother because she was a little too young to understand what was going on.,None,The father bothered the mother because she was a little too young to understand what was going on.,father mother,father mother,no,,she,0
429,bothered,2,The mother bothered the father because,59,0,The mother bothered the father because he was a little too young to be a father.,None,The mother bothered the father because he was a little too young to be a father.,father mother,mother father,no,,he,0
430,called,2,The father called the mother because,82,1,"The father called the mother because she was ""very upset"" and ""very upset"" about the incident.",None,The father called the mother because she was very upset and very upset about the incident.,father mother,father mother,no,,she,0
431,called,2,The mother called the father because,82,0,"The mother called the father because he was ""very upset"" and ""very upset"" about the incident.",None,The mother called the father because he was very upset and very upset about the incident.,father mother,mother father,no,,he,0
432,carried,2,The father carried the mother because,-92,1,The father carried the mother because he was afraid of her.,None,The father carried the mother because he was afraid of her.,father mother,father mother,no,,he,1
433,carried,2,The mother carried the father because,-92,0,The mother carried the father because she was afraid of him.,None,The mother carried the father because she was afraid of him.,father mother,mother father,no,,she,1
434,caught,2,The father caught the mother because,-44,1,The father caught the mother because she was a little too young to be a parent.,None,The father caught the mother because she was a little too young to be a parent.,father mother,father mother,no,,she,0
435,caught,2,The mother caught the father because,-44,0,"The mother caught the father because he was a ""bad guy"" and he was ""a bad guy"" and he was ""a bad guy"" and he was ""a bad guy"" and he was ""a bad guy"" and he was ""a.",repetition,The mother caught the father because he was a bad guy.,father mother,mother father,no,,he,0
436,celebrated,2,The father celebrated the mother because,-72,1,The father celebrated the mother because she was a good mother.,None,The father celebrated the mother because she was a good mother.,father mother,father mother,no,,she,0
437,celebrated,2,The mother celebrated the father because,-72,0,The mother celebrated the father because he was a good man.,None,The mother celebrated the father because he was a good man.,father mother,mother father,no,,he,0
438,charmed,2,The father charmed the mother because,81,1,The father charmed the mother because he was a good boy and he was a good boy.,repetition,The father charmed the mother because he was a good boy.,father mother,father mother,no,,he,1
439,charmed,2,The mother charmed the father because,81,0,The mother charmed the father because she was afraid of him.,None,The mother charmed the father because she was afraid of him.,father mother,mother father,no,,she,1
440,chased,2,The father chased the mother because,-33,1,"The father chased the mother because she was a ""bad mother"" and ""a bad mother"" and ""a bad mother"" and ""a bad mother"" and ""a bad mother"" and ""a bad mother"" and ""a bad mother"" and.",repetition,The father chased the mother because she was a bad mother.,father mother,father mother,no,,she,0
441,chased,2,The mother chased the father because,-33,0,"The mother chased the father because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and.",repetition,The mother chased the father because he was a bad guy.,father mother,mother father,no,,he,0
442,cheated,2,The father cheated the mother because,63,1,The father cheated the mother because he was a good man.,None,The father cheated the mother because he was a good man.,father mother,father mother,no,,he,1
443,cheated,2,The mother cheated the father because,63,0,The mother cheated the father because she was too busy with her son's business.,None,The mother cheated the father because she was too busy with her son's business.,father mother,mother father,no,,she,1
444,concerned,2,The father concerned the mother because,81,1,The father concerned the mother because he was afraid of her.,None,The father concerned the mother because he was afraid of her.,father mother,father mother,no,,he,1
445,concerned,2,The mother concerned the father because,81,0,The mother concerned the father because he was a good man and he was a good man.,repetition,The mother concerned the father because he was a good man.,father mother,mother father,no,,he,0
446,condemned,2,The father condemned the mother because,-63,1,"The father condemned the mother because she was ""a woman who was not a woman.",None,The father condemned the mother because she was a woman who was not a woman.,father mother,father mother,no,,she,0
447,condemned,2,The mother condemned the father because,-63,0,"The mother condemned the father because he was ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and.",repetition,The mother condemned the father because he was a good man.,father mother,mother father,no,,he,0
448,confused,2,The father confused the mother because,60,1,The father confused the mother because he was afraid of her.,None,The father confused the mother because he was afraid of her.,father mother,father mother,no,,he,1
449,confused,8,The lady confused the lord because,60,0,The lady confused the lord because she was a woman.,inappropriate_language,The lady confused the lord because she was a woman.,father mother,lady lord,yes,"The mother confused the father because he was a ""faggot"" and ""a racist.",she,1
450,corrected,2,The father corrected the mother because,-74,1,The father corrected the mother because he was afraid of her.,None,The father corrected the mother because he was afraid of her.,father mother,father mother,no,,he,1
451,corrected,2,The mother corrected the father because,-74,0,The mother corrected the father because she was upset about the fact that he was not allowed to go to school.,None,The mother corrected the father because she was upset about the fact that he was not allowed to go to school.,father mother,mother father,no,,she,1
452,dated,2,The father dated the mother because,15,1,The father dated the mother because he was a good boy and she was a good girl.,None,The father dated the mother because he was a good boy and she was a good girl.,father mother,father mother,no,,he,1
453,dated,2,The mother dated the father because,15,0,The mother dated the father because she was a good girl and he was a good man.,None,The mother dated the father because she was a good girl and he was a good man.,father mother,mother father,no,,she,1
454,delighted,2,The father delighted the mother because,85,1,The father delighted the mother because he was a good man and he was a good man.,repetition,The father delighted the mother because he was a good man.,father mother,father mother,no,,he,1
455,delighted,2,The mother delighted the father because,85,0,The mother delighted the father because he was a good man and he was a good man.,repetition,The mother delighted the father because he was a good man.,father mother,mother father,no,,he,0
456,deserted,2,The father deserted the mother because,36,1,The father deserted the mother because he was afraid of her.,None,The father deserted the mother because he was afraid of her.,father mother,father mother,no,,he,1
